book,index,sentence,flesch,syllables,words,sentence_clean
Book1,432,it was worse than having cupboard as bedroom where the only visitor was aunt petunia hammering on the door to wake you up at least he got to visit the rest of the house ,-60.22,61,21,was worse cupboard as bedroom the visitor aunt petunia hammering the door to wake least got to visit rest of house
Book1,433,the snake suddenly opened its beady eyes ,-68.96,16,5,snake suddenly opened beady eyes
Book1,434,slowly very slowly it raised its head until its eyes were on level with harry ,-23.36,21,8,slowly slowly raised head eyes on level harry
Book1,435,it winked ,-6.69,5,2,it winked
Book1,436,harry stared ,-6.69,5,2,harry stared
Book1,437,then he looked quickly around to see if anyone was watching ,-65.66,25,8,he looked quickly around see anyone was watching
Book1,438,they weren ,121.22,1,1,
Book1,439,he looked back at the snake and winked too ,-51.02,12,4,looked back snake winked
Book1,440,the snake jerked its head toward uncle vernon and dudley then raised its eyes to the ceiling ,-59.14,36,12,snake jerked its head toward uncle vernon dudley raised its eyes ceiling
Book1,441,it gave harry look that said quite plainly get that all the time know harry murmured through the glass though he wasn sure the snake could hear him ,-38.53,58,22,gave harry look said quite plainly get that all time know harry murmured the glass though wasn sure the snake could hear
Book1,442, it must be really annoying the snake nodded vigorously ,-46.7,26,9,it must be really annoying the snake nodded vigorously
Book1,443, where do you come from anyway harry asked ,-29.87,11,4,come anyway harry asked
Book1,444,the snake jabbed its tail at little sign next to the glass ,-17.81,18,7,snake jabbed tail little sign next glass
Book1,445,harry peered at it ,-21.81,8,3,harry peered at
Book1,446,boa constrictor brazil ,-78.21,10,3,boa constrictor brazil
Book1,447, was it nice there the boa constrictor jabbed its tail at the sign again and harry read on this specimen was bred in the zoo ,-40.64,36,13,nice the boa constrictor jabbed tail sign harry read specimen bred in zoo
Book1,448, oh see so you ve never been to brazil as the snake shook its head deafening shout behind harry made both of them jump ,-47.34,45,16,oh see so you never brazil the snake shook head deafening shout behind harry made jump
Book1,449, dudley ,-47.98,3,1,dudley
Book1,450,mr dursley ,35.61,4,2,mr dursley
Book1,451,come and look at this snake ,-50.01,9,3,come look snake
Book1,452,you wont believe what it doing dudley came waddling toward them as fast as he could ,-40.19,28,10,wont believe it dudley came waddling toward fast as could
Book1,453, out of the way you he said punching harry in the ribs ,3.34,14,6,of way said punching harry ribs
Book1,454,caught by surprise harry fell hard on the concrete floor ,-41.98,20,7,caught surprise harry fell hard concrete floor
Book1,455,what came next happened so fast no one saw how it happened one second piers and dudley were leaning right up close to the glass the next they had leapt back with howls of horror ,-41.88,66,25,what came next happened fast one saw how happened one second piers dudley were leaning right close to the glass next leapt back howls horror
Book1,456,harry sat up and gasped the glass front of the boa constrictor tank had vanished ,-23.27,26,10,harry sat gasped the glass front boa constrictor tank vanished
Book1,457,the great snake was uncoiling itself rapidly slithering out onto the floor ,-86.81,27,8,great snake uncoiling itself rapidly slithering onto floor
Book1,458,people throughout the reptile house screamed and started running for the exits ,-118.53,30,8,people throughout reptile house screamed started running exits
Book1,459,as the snake slid swiftly past him harry could have sworn low hissing voice said brazil here come ,-30.96,37,14,snake slid swiftly past harry could have sworn low hissing voice said brazil come
Book1,460, thanksss amigo the keeper of the reptile house was in shock ,-66.16,22,7,thanksss amigo keeper reptile house in shock
Book1,461, but the glass he kept saying where did the glass go the zoo director himself made aunt petunia cup of strong sweet tea while he apologized over and over again ,-58.8,58,20,the glass kept saying where glass go zoo director made aunt petunia cup of strong sweet tea while apologized over
Book1,462,piers and dudley could only gibber ,-51.02,12,4,piers dudley could gibber
Book1,463,as far as harry had seen the snake hadn done anything except snap playfully at their heels as it passed but by the time they were all back in uncle vernon car dudley was telling them how it had nearly bitten off his leg while piers was swearing it had tried to squeeze him to death ,-58.29,88,32,as far harry seen the snake done anything except snap playfully their heels passed by time were back uncle vernon car dudley telling nearly bitten leg piers swearing had tried squeeze death
Book1,464,but worst of all for harry at least was piers calming down enough to say harry was talking to it weren you harry uncle vernon waited until piers was safely out of the house before starting on harry ,-50.17,66,24,worst harry least was piers calming down enough to say harry talking weren harry uncle vernon waited piers was safely house before starting harry
Book1,465,he was so angry he could hardly speak ,6.36,16,7,he so angry he could hardly speak
Book1,466,he managed to say go cupboard stay no meals before he collapsed into chair and aunt petunia had to run and get him large brandy ,-50.91,43,15,managed say go cupboard stay meals he collapsed chair aunt petunia run get large brandy
Book1,467,harry lay in his dark cupboard much later wishing he had watch ,-9.1,22,9,harry lay in dark cupboard much later wishing watch
Book1,468,he didn know what time it was and he couldn be sure the dursleys were asleep yet ,-11.98,27,11,didn know time was and be sure the dursleys asleep yet
Book1,469,until they were he couldn risk sneaking to the kitchen for some food ,-51.02,12,4,risk sneaking kitchen food
Book1,470,he lived with the dursleys almost ten years ten miserable years as long as he could remember ever since he been baby and his parents had died in that car crash ,-48.44,53,19,he lived dursleys almost ten years ten miserable years long could remember ever since baby parents died car crash
Book1,471,he couldn remember being in the car when his parents had died ,-35.12,14,5,remember car when parents died
Book1,472,sometimes when he strained his memory during long hours in his cupboard he came up with strange vision blinding flash of green light and burning pain on his forehead ,-70.7,58,19,sometimes strained memory long hours cupboard came up strange vision blinding flash of green light burning pain his forehead
Book1,473,this he supposed was the crash though he couldn imagine where all the green light came from ,-65.66,25,8,supposed crash though couldn imagine green light came
Book1,474,he couldn remember his parents at all ,-78.21,10,3,couldn remember parents
Book1,475,his aunt and uncle never spoke about them and of course he was forbidden to ask questions ,-74.9,29,9,aunt uncle never spoke course was forbidden ask questions
Book1,476,there were no photographs of them in the house ,-51.02,12,4,no photographs them house
Book1,477,when he had been younger harry had dreamed and dreamed of some unknown relation coming to take him away but it had never happened the dursleys were his only family ,-69.2,52,17,younger harry dreamed dreamed of unknown relation coming take away had never happened dursleys his only family
Book1,478,yet sometimes he thought or maybe hoped that strangers in the street seemed to know him ,-57.11,30,10,yet sometimes thought maybe hoped strangers street seemed to know
Book1,479,very strange strangers they were too ,-50.01,9,3,strange strangers were
Book1,480,a tiny man in violet top hat had bowed to him once while out shopping with aunt petunia and dudley ,-37.99,33,12,tiny man violet top hat had bowed to shopping aunt petunia dudley
Book1,481,after asking harry furiously if he knew the man aunt petunia had rushed them out of the shop without buying anything ,-61.17,42,14,asking harry furiously he knew man aunt petunia rushed out shop without buying anything
Book1,482,a wild looking old woman dressed all in green had waved merrily at him once on bus ,-31.73,27,10,wild looking old woman dressed green waved merrily at bus
Book1,483,a bald man in very long purple coat had actually shaken his hand in the street the other day and then walked away without word ,-30.63,49,19,bald man very long purple coat actually shaken hand in the street other day then walked away without word
Book1,484,the weirdest thing about all these people was the way they seemed to vanish the second harry tried to get closer look ,-47.14,37,13,the weirdest thing people way seemed vanish second harry tried get closer look
Book1,485,at school harry had no one ,-21.81,8,3,school harry one
Book1,486,everybody knew that dudley gang hated that odd harry potter in his baggy old clothes and broken glasses and nobody liked to disagree with dudley gang ,-43.99,52,19,everybody knew dudley gang hated odd harry potter his baggy old clothes broken glasses nobody liked disagree dudley gang
Book1,487, the letters from no one the escape of the brazilian boa constrictor earned harry his longest ever punishment ,-79.68,42,13,the letters from one escape brazilian boa constrictor earned harry longest ever punishment
Book1,488,by the time he was allowed out of his cupboard again the summer holidays had started and dudley had already broken his new video camera crashed his remote control airplane and first time out on his racing bike knocked down old mrs figg as she crossed privet drive on her crutches ,-80.46,99,33,time allowed cupboard again the summer holidays started and dudley had already broken new video camera crashed remote control airplane first time racing bike knocked old mrs figg crossed privet drive her crutches
Book1,489,harry was glad school was over but there was no escaping dudley gang who visited the house every single day ,-43.05,39,14,harry glad school over but escaping dudley gang visited the house every single day
Book1,490,piers dennis malcolm and gordon were all big and stupid but as dudley was the biggest and stupidest of the lot he was the leader ,-43.05,39,14,piers dennis malcolm gordon big stupid dudley biggest and stupidest of the lot leader
Book1,491,the rest of them were all quite happy to join in dudley favorite sport harry hunting ,-30.94,32,12,rest of them all quite happy join dudley favorite sport harry hunting
Book1,492,this was why harry spent as much time as possible out of the house wandering around and thinking about the end of the holidays where he could see tiny ray of hope ,-57.34,55,19,this harry spent much time possible of house wandering around thinking about end holidays could see tiny ray hope
Book1,493,when september came he would be going off to secondary school and for the first time in his life he wouldn be with dudley ,-42.05,44,16,when september came would be going off secondary school first time in life wouldn be dudley
Book1,494,dudley had been accepted at uncle vernon old private school smeltings ,-65.66,25,8,dudley accepted uncle vernon old private school smeltings
Book1,495,piers polkiss was going there too ,-29.87,11,4,piers polkiss was going
Book1,496,harry on the other hand was going to stonewall high the local public school ,-23.27,26,10,harry hand was going stonewall high the local public school
Book1,497,dudley thought this was very funny ,-21.81,8,3,dudley thought funny
Book1,498, they stuff people heads down the toilet the first day at stonewall he told harry ,-31.73,27,10,they stuff people heads toilet first day stonewall told harry
Book1,499, want to come upstairs and practice no thanks said harry ,-27.9,24,9,want to come upstairs and practice thanks said harry
Book1,500, the poor toilet never had anything as horrible as your head down it it might be sick then he ran before dudley could work out what he said ,-42.05,44,16,poor toilet never anything as horrible head might sick then ran dudley could work out said
Book1,501,one day in july aunt petunia took dudley to london to buy his smeltings uniform leaving harry at mrs figg ,-42.05,44,16,one day july aunt petunia took dudley to london buy smeltings uniform leaving harry mrs figg
Book1,502,mrs figg wasn as bad as usual ,15.64,11,5,mrs figg as bad usual
Book1,503,it turned out she broken her leg tripping over one of her cats and she didn seem quite as fond of them as before ,-15.62,39,16,it turned broken her leg tripping one her cats and she seem quite as fond of
Book1,504,she let harry watch television and gave him bit of chocolate cake that tasted as though she had it for several years ,-66.67,40,13,let harry watch television and gave bit chocolate cake tasted though several years
Book1,505,that evening dudley paraded around the living room for the family in his brand new uniform ,-65.82,34,11,evening dudley paraded around living room family his brand new uniform
Book1,506,smeltings boys wore maroon tailcoats orange knickerbockers and flat straw hats called boaters ,-73.18,41,13,smeltings boys wore maroon tailcoats orange knickerbockers and flat straw hats called boaters
Book1,507,they also carried knobbly sticks used for hitting each other while the teachers weren looking ,-65.5,28,9,also carried knobbly sticks used hitting teachers weren looking
Book1,508,this was supposed to be good training for later life ,-85.88,17,5,supposed good training later life
Book1,509,as he looked at dudley in his new knickerbockers uncle vernon said gruffly that it was the proudest moment of his life ,-66.2,37,12,looked dudley in new knickerbockers uncle vernon said gruffly proudest moment life
Book1,510,aunt petunia burst into tears and said she couldn believe it was her ickle dudleykins he looked so handsome and grown up ,-68.49,49,16,aunt petunia burst tears and said she couldn believe her ickle dudleykins looked handsome and grown
Book1,511,harry didn trust himself to speak ,6.39,7,3,harry trust speak
Book1,512,he thought two of his ribs might already have cracked from trying not to laugh ,-14.81,25,10,he thought two his ribs might already cracked trying laugh
Book1,513,k k there was horrible smell in the kitchen the next morning when harry went in for breakfast ,-4.29,26,11,k k horrible smell kitchen the next morning harry went breakfast
Book1,514,it seemed to be coming from large metal tub in the sink ,-23.36,21,8,seemed to coming large metal tub the sink
Book1,515,he went to have look ,-6.69,5,2,went look
Book1,516,the tub was full of what looked like dirty rags swimming in gray water ,-11.98,27,11,tub was full of looked like dirty rags swimming gray water
Book1,517, what this he asked aunt petunia ,-106.41,11,3,asked aunt petunia
Book1,518,her lips tightened as they always did if he dared to ask question ,-54.07,21,7,lips tightened always did dared ask question
Book1,519, your new school uniform she said ,-51.02,12,4,new school uniform said
Book1,520,harry looked in the bowl again ,-21.81,8,3,harry looked bowl
Book1,521, oh he said didn realize it had to be so wet don be stupid snapped aunt petunia ,-65.5,28,9,oh said realize to wet stupid snapped aunt petunia
Book1,522, m dyeing some of dudley old things gray for you ,-1.28,12,5,dyeing dudley old things gray
Book1,523,it ll look just like everyone else when ve finished harry seriously doubted this but thought it best not to argue ,-73.26,44,14,look like everyone else when finished harry seriously doubted this thought best not argue
Book1,524,he sat down at the table and tried not to think about how he was going to look on his first day at stonewall high like he was wearing bits of old elephant skin probably ,-29.85,58,23,sat the table tried to think how going to look his first day stonewall high like wearing bits of old elephant skin probably
Book1,525,dudley and uncle vernon came in both with wrinkled noses because of the smell from harry new uniform ,-58.13,33,11,dudley uncle vernon came wrinkled noses because smell harry new uniform
Book1,526,uncle vernon opened his newspaper as usual and dudley banged his smelting stick which he carried everywhere on the table ,-86.19,43,13,uncle vernon opened newspaper usual dudley banged his smelting stick carried everywhere table
Book1,527,they heard the click of the mail slot and flop of letters on the doormat ,-18.5,23,9,heard the click mail slot flop letters the doormat
Book1,528, get the mail dudley said uncle vernon from behind his paper ,-37.3,25,9,get the mail dudley said uncle vernon behind paper
Book1,529, make harry get it get the mail harry make dudley get it poke him with your smelting stick dudley harry dodged the smelting stick and went to get the mail ,-22.49,56,23,make harry get get mail harry make dudley get poke with smelting stick dudley harry dodged smelting stick and went get the mail
Book1,530,three things lay on the doormat postcard from uncle vernon sister marge who was vacationing on the isle of wight brown envelope that looked like bill and letter for harry ,-59.28,66,23,three things lay doormat postcard uncle vernon sister marge vacationing the isle wight brown envelope that looked like bill and letter for harry
Book1,531,harry picked it up and stared at it his heart twanging like giant elastic band ,-35.06,30,11,harry picked it stared his heart twanging like giant elastic band
Book1,532,no one ever in his whole life had written to him ,-38.95,17,6,one ever whole life written to
Book1,533,who would ,-47.98,3,1,would
Book1,534,he had no friends no other relatives he didn belong to the library so he never even got rude notes asking for books back ,-47.34,45,16,friends other relatives he didn belong the library never even got rude notes asking books back
Book1,535,yet here it was letter addressed so plainly there could be no mistake mr potter the cupboard under the stairs privet drive little whinging surrey the envelope was thick and heavy made of yellowish parchment and the address was written in emerald green ink ,-77.41,90,30,yet here letter addressed plainly there could mistake mr potter the cupboard stairs privet drive little whinging surrey envelope thick and heavy made yellowish parchment address written emerald green ink
Book1,536,there was no stamp ,-6.69,5,2,there stamp
Book1,537,turning the envelope over his hand trembling harry saw purple wax seal bearing coat of arms lion an eagle badger and snake surrounding large letter hurry up boy shouted uncle vernon from the kitchen ,-70.1,77,26,turning envelope hand trembling harry saw purple wax seal bearing coat arms lion eagle badger and snake surrounding large letter hurry boy shouted uncle vernon kitchen
Book1,538, what are you doing checking for letter bombs he chuckled at his own joke ,-12.78,20,8,checking letter bombs he chuckled at his joke
Book1,539,harry went back to the kitchen still staring at his letter ,2.11,23,10,harry went back to kitchen still staring at his letter
Book1,540,he handed uncle vernon the bill and the postcard sat down and slowly began to open the yellow envelope ,-50.44,32,11,handed uncle vernon bill postcard sat slowly began open yellow envelope
Book1,541,uncle vernon ripped open the bill snorted in disgust and flipped over the postcard ,-40.19,28,10,uncle vernon ripped open bill snorted disgust and flipped postcard
Book1,542, marge ill he informed aunt petunia ,-85.88,17,5,marge ill informed aunt petunia
Book1,543, ate funny whelk dad said dudley suddenly ,-17.81,18,7,ate funny whelk dad said dudley suddenly
Book1,544, dad harry got something harry was on the point of unfolding his letter which was written on the same heavy parchment as the envelope when it was jerked sharply out of his hand by uncle vernon ,-40.08,56,21,dad harry got something harry point unfolding letter which written heavy parchment envelope it jerked sharply his hand by uncle vernon
Book1,545, that mine said harry trying to snatch it back ,3.34,14,6,mine said harry trying snatch back
Book1,546, who be writing to you sneered uncle vernon shaking the letter open with one hand and glancing at it ,-45.04,34,12,be writing sneered uncle vernon shaking letter open one hand and glancing
Book1,547,his face went from red to green faster than set of traffic lights ,-9.1,22,9,face went from red green faster set traffic lights
Book1,548,and it didn stop there ,36.62,2,1,stop
Book1,549,within seconds it was the grayish white of old porridge ,-33.93,22,8,within seconds was the grayish white old porridge
Book1,550, p petunia he gasped ,-50.01,9,3,p petunia gasped
Book1,551,dudley tried to grab the letter to read it but uncle vernon held it high out of his reach ,-23.9,31,12,dudley tried grab letter read uncle vernon held it high of reach
Book1,552,aunt petunia took it curiously and read the first line ,-76.23,26,8,aunt petunia took curiously and read first line
Book1,553,for moment it looked as though she might faint ,-29.9,19,7,for moment looked as though might faint
Book1,554,she clutched her throat and made choking noise ,-53.05,18,6,she clutched throat made choking noise
Book1,555, vernon ,-47.98,3,1,vernon
Book1,556,oh my goodness vernon they stared at each other seeming to have forgotten that harry and dudley were still in the room ,-40.64,36,13,oh goodness vernon stared at seeming forgotten that harry and dudley still room
Book1,557,dudley wasn used to being ignored ,-78.21,10,3,dudley used ignored
Book1,558,he gave his father sharp tap on the head with his smelting stick ,-9.1,22,9,he gave father sharp tap head with smelting stick
Book1,559, want to read that letter he said loudly ,-17.81,18,7,want read that letter he said loudly
Book1,560, want to read it said harry furiously as it mine get out both of you croaked uncle vernon stuffing the letter back inside its envelope ,-58.8,58,20,want to read said harry furiously mine get out of croaked uncle vernon stuffing the letter back inside its envelope
Book1,561,harry didn move ,-6.69,5,2,harry move
Book1,562, want my letter he shouted ,-1.28,12,5,want my letter he shouted
Book1,563, let me see it demanded dudley ,-35.12,14,5,let me see demanded dudley
Book1,564, out roared uncle vernon and he took both harry and dudley by the scruffs of their necks and threw them into the hall slamming the kitchen door behind them ,-30.63,49,19,roared uncle vernon and took harry and dudley scruffs of their necks threw them hall slamming kitchen door behind
Book1,565,harry and dudley promptly had furious but silent fight over who would listen at the keyhole dudley won so harry his glasses dangling from one ear lay flat on his stomach to listen at the crack between door and floor ,-48.65,68,25,harry dudley promptly furious but silent fight would listen keyhole dudley won harry glasses dangling one ear lay flat his stomach listen crack door floor
Book1,566, vernon aunt petunia was saying in quivering voice look at the address how could they possibly know where he sleeps ,-79.68,42,13,vernon aunt petunia saying quivering voice look address how could possibly know sleeps
Book1,567,you don think they re watching the house watching spying might be following us muttered uncle vernon wildly ,-39.63,41,15,you think they watching the house watching spying might following us muttered uncle vernon wildly
Book1,568, but what should we do vernon ,-8.72,10,4,but what should vernon
Book1,569,should we write back ,-6.69,5,2,write back
Book1,570,tell them we don want harry could see uncle vernon shiny black shoes pacing up and down the kitchen ,-17.07,37,15,tell want harry could see uncle vernon shiny black shoes pacing and down the kitchen
Book1,571, no he said finally ,-21.81,8,3,no said finally
Book1,572, no we ll ignore it ,-132.58,4,1,ignore
Book1,573,if they don get an answer ,6.39,7,3,don get answer
Book1,574, ,121.22,1,1,
Book1,575,yes that best we won do anything ,12.43,9,4,yes best we anything
Book1,576, but m not having one in the house petunia ,-68.96,16,5,but not one house petunia
Book1,577,didn we swear when we took him in we stamp out that dangerous nonsense that evening when he got back from work uncle vernon did something he never done before he visited harry in his cupboard ,-57.22,68,24,swear took stamp out that dangerous nonsense that evening when he got back from work uncle vernon something never done visited harry in cupboard
Book1,578, where my letter said harry the moment uncle vernon had squeezed through the door ,-65.66,25,8,letter said harry moment uncle vernon squeezed door
Book1,579, who writing to me no one ,-21.81,8,3,writing no one
Book1,580,it was addressed to you by mistake said uncle vernon shortly ,-37.3,25,9,it addressed you by mistake said uncle vernon shortly
Book1,581, have burned it it was not mistake said harry angrily it had my cupboard on it silence yelled uncle vernon and couple of spiders fell from the ceiling ,-64.22,51,17,burned it mistake said harry angrily it cupboard on silence yelled uncle vernon couple spiders fell ceiling
Book1,582,he took few deep breaths and then forced his face into smile which looked quite painful ,-74.03,32,10,took deep breaths forced face smile which looked quite painful
Book1,583, er yes harry about this cupboard ,-1.28,12,5,er yes harry this cupboard
Book1,584,your aunt and have been thinking you re really getting bit big for it ,-17.81,18,7,aunt thinking re really getting bit big
Book1,585, we think it might be nice if you moved into dudley second bedroom why said harry ,-27.37,29,11,we think might be nice moved dudley second bedroom said harry
Book1,586, don ask questions snapped his uncle ,-52.04,15,5,ask questions snapped his uncle
Book1,587, take this stuff upstairs now the dursleys house had four bedrooms one for uncle vernon and aunt petunia one for visitors usually uncle vernon sister marge one where dudley slept and one where dudley kept all the toys and things that wouldn fit into his first bedroom ,-76.8,95,32,take stuff upstairs dursleys house four bedrooms one uncle vernon aunt petunia one visitors usually uncle vernon sister marge one dudley slept and one dudley kept toys things fit his first bedroom
Book1,588,it only took harry one trip upstairs to move everything he owned from the cupboard to this room ,-58.13,33,11,took harry one trip upstairs move everything owned cupboard to room
Book1,589,he sat down on the bed and stared around him ,-18.2,13,5,sat down bed stared around
Book1,590,nearly everything in here was broken ,-52.04,15,5,nearly everything in here broken
Book1,591,the month old video camera was lying on top of small working tank dudley had once driven over the next door neighbor dog in the corner was dudley first ever television set which he put his foot through when his favorite program had been canceled there was large birdcage which had once held parrot that dudley had swapped at school for real air rifle which was up on shelf with the end all bent because dudley had sat on it ,-73.85,138,51,the month old video camera lying top of small working tank dudley once driven next door neighbor dog corner dudley first ever television set put foot when favorite program had canceled large birdcage had held parrot dudley swapped at school real air rifle shelf with the end bent dudley sat it
Book1,592,other shelves were full of books ,-8.72,10,4,shelves full of books
Book1,593,they were the only things in the room that looked as though they never been touched ,-37.3,25,9,they only things in room looked though never touched
Book1,594,from downstairs came the sound of dudley bawling at his mother don want him in there ,-55.08,24,8,downstairs came sound dudley bawling mother want there
Book1,595,i need that room make him get out ,-18.2,13,5,need room make him get
Book1,596, harry sighed and stretched out on the bed ,-10.75,15,6,harry sighed stretched out on bed
Book1,597,yesterday he have given anything to be up here ,-24.85,16,6,yesterday he given anything to be
Book1,598,today he rather be back in his cupboard with that letter than up here without it ,-54.07,21,7,today rather back cupboard letter than without
Book1,599,next morning at breakfast everyone was rather quiet ,-95.35,21,6,next morning breakfast everyone rather quiet
Book1,600,dudley was in shock ,12.43,9,4,dudley was in shock
Book1,601,he screamed whacked his father with his smelting stick been sick on purpose kicked his mother and thrown his tortoise through the greenhouse roof and he still didn have his room back ,-51.92,64,23,he screamed whacked his father his smelting stick sick purpose kicked mother thrown tortoise the greenhouse roof and still didn his room back
Book1,602,harry was thinking about this time yesterday and bitterly wishing he opened the letter in the hall ,-30.96,37,14,harry was thinking this time yesterday and bitterly wishing opened the letter in hall
Book1,603,uncle vernon and aunt petunia kept looking at each other darkly ,-65.66,25,8,uncle vernon aunt petunia kept looking other darkly
Book1,604,when the mail arrived uncle vernon who seemed to be trying to be nice to harry made dudley go and get it ,-37.0,38,14,when mail arrived uncle vernon seemed trying nice harry made dudley go get it
Book1,605,they heard him banging things with his smelting stick all the way down the hall ,3.4,25,11,they heard him banging things with his smelting stick way hall
Book1,606,then he shouted there another one ,-106.41,11,3,shouted another one
Book1,607, mr ,121.22,1,1,mr
Book1,608,h potter the smallest bedroom privet drive with strangled cry uncle vernon leapt from his seat and ran down the hall harry right behind him ,-26.18,48,19,h potter smallest bedroom privet drive strangled cry uncle vernon leapt his seat ran down hall harry right behind
Book1,609,uncle vernon had to wrestle dudley to the ground to get the letter from him which was made difficult by the fact that harry had grabbed uncle vernon around the neck from behind ,-44.11,57,21,uncle vernon wrestle dudley ground get letter which was made difficult fact that harry grabbed uncle vernon around neck from behind
Book1,610,after minute of confused fighting in which everyone got hit lot by the smelting stick uncle vernon straightened up gasping for breath with harry letter clutched in his hand ,-52.17,59,21,minute of confused fighting everyone got hit lot by smelting stick uncle vernon straightened gasping breath harry letter clutched his hand
Book1,611, go to your cupboard mean your bedroom he wheezed at harry ,-55.08,24,8,go cupboard mean your bedroom he wheezed harry
Book1,612, dudley go just go harry walked round and round his new room ,-18.5,23,9,dudley go go harry walked round round new room
Book1,613,someone knew he had moved out of his cupboard and they seemed to know he hadn received his first letter ,-73.51,35,11,someone knew moved out cupboard seemed know hadn received first letter
Book1,614,surely that meant they try again ,6.39,7,3,surely meant try
Book1,615,and this time he make sure they didn fail ,-24.85,16,6,time make sure they didn fail
Book1,616,he had plan ,36.62,2,1,plan
Book1,617,the repaired alarm clock rang at six clock the next morning ,-23.36,21,8,repaired alarm clock rang six clock next morning
Book1,618,harry turned it off quickly and dressed silently ,-17.81,18,7,harry turned it quickly and dressed silently
Book1,619,he mustn wake the dursleys ,-8.72,10,4,he wake the dursleys
Book1,620,he stole downstairs without turning on any of the lights ,-53.05,18,6,stole downstairs without turning on lights
Book1,621,he was going to wait for the postman on the corner of privet drive and get the letters for number four first ,-37.99,33,12,going wait postman corner privet drive and get letters number four first
Book1,622,his heart hammered as he crept across the dark hall toward the front door aaaaarrrgh ,-45.04,34,12,heart hammered crept across the dark hall toward the front door aaaaarrrgh
Book1,623, harry leapt into the air he trodden on something big and squashy on the doormat something alive lights clicked on upstairs and to his horror harry realized that the big squashy something had been his uncle face ,-66.85,76,26,harry leapt the air he trodden something big squashy doormat something alive lights clicked upstairs and his horror harry realized the big squashy something uncle face
Book1,624,uncle vernon had been lying at the foot of the front door in sleeping bag clearly making sure that harry didn do exactly what he been trying to do ,-31.48,42,16,uncle vernon lying the foot front door sleeping bag clearly making sure harry exactly what trying
Book1,625,he shouted at harry for about half an hour and then told him to go and make cup of tea ,-21.11,33,13,shouted harry about half an hour told him go make cup of tea
Book1,626,harry shuffled miserably off into the kitchen and by the time he got back the mail had arrived right into uncle vernon lap ,-42.05,44,16,harry shuffled miserably off into kitchen time got back mail arrived right into uncle vernon lap
Book1,627,harry could see three letters addressed in green ink ,-44.51,23,8,harry could see three letters addressed green ink
Book1,628, want he began but uncle vernon was tearing the letters into pieces before his eyes ,-50.44,32,11,want began uncle vernon tearing the letters into pieces his eyes
Book1,629,uncle vernon didn go to work that day ,3.34,14,6,uncle vernon go work that day
Book1,630,he stayed at home and nailed up the mail slot ,-29.9,19,7,stayed at home nailed the mail slot
Book1,631, see he explained to aunt petunia through mouthful of nails if they can deliver them they ll just give up m not sure that ll work vernon oh these peoples minds work in strange ways petunia they re not like you and me said uncle vernon trying to knock in nail with the piece of fruitcake aunt petunia had just brought him ,-81.08,112,38,see explained aunt petunia mouthful nails if deliver they ll give not sure work vernon oh peoples minds work strange ways petunia re like me said uncle vernon trying knock nail the piece fruitcake aunt petunia had brought
Book1,632,on friday no less than twelve letters arrived for harry ,-23.36,21,8,friday less than twelve letters arrived for harry
Book1,633,as they couldn go through the mail slot they had been pushed under the door slotted through the sides and few even forced through the small window in the downstairs bathroom ,-46.11,55,20,as couldn go mail slot pushed under door slotted sides few even forced through the small window the downstairs bathroom
Book1,634,uncle vernon stayed at home again ,-51.02,12,4,uncle vernon stayed home
Book1,635,after burning all the letters he got out hammer and nails and boarded up the cracks around the front and back doors so no one could go out ,-30.63,49,19,burning the letters he got hammer nails boarded cracks around the front back doors so no one could go
Book1,636,he hummed tiptoe through the tulips as he worked and jumped at small noises ,-66.16,22,7,hummed tiptoe tulips worked jumped small noises
Book1,637,on saturday things began to get out of hand ,-24.85,16,6,saturday things began get out hand
Book1,638,twenty four letters to harry found their way into the house rolled up and hidden inside each of the two dozen eggs that their very confused milkman had handed aunt petunia through the living room window ,-65.57,73,25,twenty four letters harry found their way the house rolled hidden inside each of two dozen eggs confused milkman handed aunt petunia living room window
Book1,639,while uncle vernon made furious telephone calls to the post office and the dairy trying to find someone to complain to aunt petunia shredded the letters in her food processor ,-84.68,70,22,uncle vernon made furious telephone calls post office and dairy trying find someone to complain aunt petunia shredded letters her food processor
Book1,640, who on earth wants to talk to you this badly dudley asked harry in amazement ,-27.9,24,9,earth wants talk this badly dudley asked harry amazement
Book1,641, k on sunday morning uncle vernon sat down at the breakfast table looking tired and rather ill but happy ,-33.99,40,15,k on sunday morning uncle vernon sat at breakfast table looking tired rather ill happy
Book1,642, no post on sundays he reminded them cheerfully as he spread marmalade on his newspapers no damn letters today something came whizzing down the kitchen chimney as he spoke and caught him sharply on the back of the head ,-64.27,70,24,post sundays reminded them cheerfully spread marmalade his newspapers no damn letters today something came whizzing kitchen chimney spoke caught sharply back the head
Book1,643,next moment thirty or forty letters came pelting out of the fireplace like bullets ,-42.75,31,11,next moment thirty forty letters came pelting the fireplace like bullets
Book1,644,the dursleys ducked but harry leapt into the air trying to catch one out ,-18.5,23,9,the dursleys ducked harry leapt air trying catch one
Book1,645,out uncle vernon seized harry around the waist and threw him into the hall ,-35.06,30,11,out uncle vernon seized harry around the waist threw him hall
Book1,646,when aunt petunia and dudley had run out with their arms over their faces uncle vernon slammed the door shut ,-49.09,40,14,aunt petunia and dudley run their arms over faces uncle vernon slammed door shut
Book1,647,they could hear the letters still streaming into the room bouncing off the walls and floor ,-48.65,29,10,could hear letters still streaming room bouncing off walls floor
